  t   J_i   l_i   J_f   l_f   Lam  n1   lj1  n2  lj2   TD   TD/sqrt(2j_1+1)
  0     0     1     0     1  0     2     1     2     1     0.98446515     0.69612199
  0     0     1     0     1  0     2     2     2     2     1.89499294     0.94749647
  0     0     1     0     1  0     1     5     1     5     2.06963333     0.84492427
  0     0     1     0     1  0     1     8     1     8     1.81762427     0.57478326
  1     0     1     0     1  0     2     1     2     1     0.23811678     0.16837399
  1     0     1     0     1  0     2     2     2     2     0.69945848     0.34972924
  1     0     1     0     1  0     1     5     1     5     0.83352073     0.34028341
  1     0     1     0     1  0     1     8     1     8     0.07059395     0.02232377
  0     0     1     0     2  0     2     1     2     1     0.00270879     0.00191541
  0     0     1     0     2  0     2     2     2     2     0.00736306     0.00368153
  0     0     1     0     2  0     1     5     1     5     0.09342444     0.03814037
  0     0     1     0     2  0     1     8     1     8    -0.07809925    -0.02469715
  1     0     1     0     2  0     2     1     2     1    -0.02533318    -0.01791326
  1     0     1     0     2  0     2     2     2     2    -0.01520566    -0.00760283
  1     0     1     0     2  0     1     5     1     5    -0.03162240    -0.01290979
  1     0     1     0     2  0     1     8     1     8     0.04526529     0.01431414
  0     0     1     2     1  2     2     1     2     2     0.26427438     0.18687021
  0     0     1     2     1  2     2     1     1     5    -0.36169797    -0.25575909
  0     0     1     2     1  2     2     2     2     1    -0.18392622    -0.09196311
  0     0     1     2     1  2     2     2     2     2    -0.05234249    -0.02617124
  0     0     1     2     1  2     2     2     1     5    -0.04699629    -0.02349814
  0     0     1     2     1  2     1     5     2     1    -0.31221165    -0.12745987
  0     0     1     2     1  2     1     5     2     2     0.05882694     0.02401600
  0     0     1     2     1  2     1     5     1     5    -0.45621533    -0.18624913
  0     0     1     2     1  2     1     8     1     8    -1.34192424    -0.42435371
  1     0     1     2     1  2     2     1     2     2     0.36073437     0.25507772
  1     0     1     2     1  2     2     1     1     5    -0.37196533    -0.26301920
  1     0     1     2     1  2     2     2     2     1    -0.30135113    -0.15067557
